mfg,raw,spellings,slug,recalls,units,median,p90,worst,same_day,over_30,over_90,early,rank
"Daimler Vans USA","Daimler Vans USA, LLC",1,daimler-vans-usa,126,1459983,63,168,681,0,118,38,0,1
"Chrysler Group","Chrysler Group LLC",2,chrysler-group,109,14240502,61,201,552,0,85,35,0,2
Tesla,"Tesla, Inc.",1,tesla,83,13318656,60,104,404,0,75,9,5,3
"Aston Martin The Americas","Aston Martin The Americas",1,aston-martin-the-americas,17,18556,60,73,111,0,14,2,0,4
"Daimler Trucks North America","Daimler Trucks North America LLC",4,daimler-trucks-north-america,484,2996336,59,245,779,4,431,153,12,5
Supreme,"Supreme Corporation",2,supreme,22,76071,59,76,122,0,19,1,0,6
"Porsche Cars North America","Porsche Cars North America, Inc.",2,porsche-cars-north-america,119,1318822,58,202,561,0,114,31,1,7
"Bendix Commercial Vehicle Systems","Bendix Commercial Vehicle Systems, LLC",3,bendix-commercial-vehicle-systems,15,1113354,58,76,99,1,12,2,0,8
"BMW of North America","BMW of North America, LLC",2,bmw-of-north-america,378,12531573,57,169,989,4,334,80,10,9
Autocar,"Autocar, LLC",2,autocar,98,107146,57,244,684,0,89,22,3,10
"Hino Motors Sales U.S.A","Hino Motors Sales U.S.A., Inc.",2,hino-motors-sales-u-s-a,37,132570,57,207,314,0,33,9,0,11
Arcimoto,"Arcimoto Inc",1,arcimoto,30,3454,57,65,98,0,23,1,0,12
"Nova Bus (US)","Nova Bus (US) Inc.",1,nova-bus-us,52,15284,56,109,302,0,41,14,0,13
"REV Recreation Group","REV Recreation Group",1,rev-recreation-group,44,38979,56,59,222,0,39,1,0,14
"Toyota Motor Engineering & Manufacturing","Toyota Motor Engineering & Manufacturing",1,toyota-motor-engineering-manufacturing,238,52238731,55.5,189,487,0,195,55,2,15
"Ferrari North America","Ferrari North America, Inc.",2,ferrari-north-america,28,64958,55.5,131,525,0,22,7,2,16
"Hyundai Motor America","Hyundai Motor America",1,hyundai-motor-america,200,17742633,55,120,298,2,181,42,1,17
"Vac-Tron Equipment","Vac-Tron Equipment, LLC",1,vac-tron-equipment,15,3337,55,61,63,0,15,0,0,18
"Mitsubishi Fuso Truck of America","Mitsubishi Fuso Truck of America, Inc.",2,mitsubishi-fuso-truck-of-america,27,85739,54.5,74,392,1,22,2,1,19
"Lucid USA","Lucid USA, Inc.",1,lucid-usa,20,77405,54.5,60,60,0,20,0,0,20
"Kia America","Kia America, Inc.",1,kia-america,72,6482828,54,120,311,0,57,13,0,21
"Vermeer Manufacturing","Vermeer Manufacturing Company",2,vermeer-manufacturing,39,41782,54,74,209,0,36,4,0,22
"Van Hool N.V","Van Hool N.V.",2,van-hool-n-v,22,9597,54,97,261,0,18,4,1,23
"Altec Industries","Altec Industries Inc.",3,altec-industries,196,187677,53,60,203,2,151,5,3,24
"Gulf States Toyota","Gulf States Toyota, Inc.",2,gulf-states-toyota,19,338072,53,113,162,0,19,3,0,25
Cummins,"Cummins, Inc.",3,cummins,51,422059,52,101,212,0,45,8,0,26
PACCAR,"PACCAR Incorporated",2,paccar,182,1967485,51.5,131,720,1,136,30,6,27
"Rosenbauer America","Rosenbauer America",1,rosenbauer-america,18,3229,51.5,96,439,0,12,3,0,28
Navistar,"Navistar, Inc.",2,navistar,260,1211271,51,110,378,1,187,35,8,29
"International Motors","International Motors, LLC",1,international-motors,40,232856,51,95,195,0,37,5,0,30
"Volvo Bus","Volvo Bus Corporation",1,volvo-bus,24,3743,51,177,716,0,20,5,0,31
"Autocar Industries","Autocar Industries, LLC",2,autocar-industries,18,3131,51,58,141,0,13,2,1,32
"Prevost Car (US)","Prevost Car (US) Inc.",1,prevost-car-us,38,42390,50.5,177,290,0,29,11,0,33
"Mazda North American Operations","Mazda North American Operations",2,mazda-north-american-operations,95,7349798,50,185,714,0,82,15,0,34
"McLaren Automotive","McLaren Automotive Incorporated",1,mclaren-automotive,15,9949,50,92,666,0,11,3,0,35
"Mercedes-Benz USA","Mercedes-Benz USA, LLC.",3,mercedes-benz-usa,385,9358456,49,137,1075,0,329,79,0,36
"Jaguar Land Rover North America","Jaguar Land Rover North America, LLC",2,jaguar-land-rover-north-america,190,1697934,49,137,382,1,167,36,0,37
"Corp. Micro Bird","Corp. Micro Bird, Inc.",4,corp-micro-bird,99,105385,49,60,160,0,78,6,0,38
"Prevost Cars","Prevost Cars, Inc.",2,prevost-cars,63,26034,49,133,276,2,42,10,0,39
"Volvo Car USA","Volvo Car USA, LLC",2,volvo-car-usa,52,2473000,49,69,167,0,46,4,0,40
"Southeast Toyota Distributors","Southeast Toyota Distributors, LLC",2,southeast-toyota-distributors,29,205667,49,64,113,0,29,2,0,41
"SPARTAN CHASSIS","SPARTAN CHASSIS, INC.",2,spartan-chassis,21,5938,49,97,117,0,13,4,0,42
"Temsa Global Sanayi Ve Ticaret A.S","Temsa Global Sanayi Ve Ticaret A.S.",1,temsa-global-sanayi-ve-ticaret-a-s,19,3162,49,65,135,0,14,1,0,43
"Nissan North America","Nissan North America, Inc.",2,nissan-north-america,263,26323689,48,101,1017,0,220,28,4,44
"Wabash National","Wabash National Corporation",2,wabash-national,22,52675,47.5,69,218,0,14,2,0,45
"Honda (American Honda Motor Co.)","Honda (American Honda Motor Co.)",2,honda-american-honda-motor-co,282,60686251,47,88,409,0,231,28,2,46
"Kovatch Mobile Equipment","Kovatch Mobile Equipment Corp.",3,kovatch-mobile-equipment,50,4164,47,55,395,0,38,1,1,47
"Spartan Fire","Spartan Fire, LLC",1,spartan-fire,29,7647,47,55,147,1,22,1,0,48
"Nova Bus","Nova Bus",3,nova-bus,41,10364,46.5,60,66,0,27,0,1,49
"Hyundai Motor","Hyundai Motor Company",2,hyundai-motor,30,4796742,46,95,262,1,19,4,1,50
HME,"HME, Inc.",2,hme,17,948,45.5,217,220,0,12,4,1,51
"Winnebago Industries","Winnebago Industries, Inc",5,winnebago-industries,125,240547,44.5,117,563,1,79,17,9,52
"Kia Motors America","Kia Motors America",1,kia-motors-america,82,7332337,44.5,83,185,0,57,9,0,53
"Volvo Trucks North America","Volvo Trucks North America",2,volvo-trucks-north-america,114,562446,44,101,204,0,75,17,3,54
"Ferrara Fire Apparatus","Ferrara Fire Apparatus, Inc.",2,ferrara-fire-apparatus,25,1407,44,81,379,1,16,3,2,55
"Lamborghini (Automobili Lamborghini)","Lamborghini (Automobili Lamborghini)",1,lamborghini-automobili-lamborghini,23,31952,44,58,200,0,19,1,0,56
"Great Dane Trailers","Great Dane Trailers",1,great-dane-trailers,38,43251,43,63,205,0,28,2,2,57
"Chrysler (FCA US, LLC)","Chrysler (FCA US, LLC)",2,chrysler-fca-us-llc,497,60358280,42,175,637,1,293,87,7,58
"Volkswagen Group of America","Volkswagen Group of America, Inc.",1,volkswagen-group-of-america,318,14081564,42,155,599,0,197,61,2,59
