campaign,mfg,make,vehicles,rate,unfixed
23V420,"Ford Motor Company",FORD,691133,39.2,420209
23V431,"Honda (American Honda Motor Co.)",HONDA,1209673,77.9,267338
23V158,"Honda (American Honda Motor Co.)",HONDA,448613,47.8,234176
23V093,"Nissan North America, Inc.",NISSAN,712458,69.7,215875
22V955,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,348183,45.6,189412
23V162,"Ford Motor Company",FORD,1280726,86.2,176740
22V644,"Ford Motor Company",LINCOLN,277040,42.7,158744
22V903,"General Motors, LLC",CADILLAC,740108,79.3,153202
22V859,"Ford Motor Company",FORD,521746,77.4,117915
23V339,"General Motors, LLC",CHEVROLET,668187,83.4,110919
23V149,"Kia America, Inc.",KIA,188912,41.4,110702
22V907,"Subaru of America, Inc.",SUBARU,271694,60.2,108134
22V875,"Nissan North America, Inc.",NISSAN,125215,16.1,105055
23V163,"Ford Motor Company",FORD,222454,53.7,102996
22V842,"Ford Motor Company",FORD,483082,79.2,100481
23V228,"Honda (American Honda Motor Co.)",HONDA,616128,85.7,88106
22V867,"Honda (American Honda Motor Co.)",HONDA,117445,39.9,70584
23V342,"Ford Motor Company",LINCOLN,442973,84.4,69104
22V817,"Daimler Trucks North America, LLC",FREIGHTLINER,219390,68.6,68888
22V648,"Ford Motor Company",LINCOLN,198482,67.3,64904
23V594,"Kia America, Inc.",KIA,319436,80.2,63248
23V654,"Chrysler (FCA US, LLC)",RAM,272911,77.1,62497
23V181,"Hyundai Motor America",HYUNDAI,584784,90.5,55554
22V142,"Ford Motor Company",FORD,157306,65.4,54428
23V060,"Chrysler (FCA US, LLC)",RAM,302067,82,54372
23V727,"Ford Motor Company",FORD,187922,71.2,54122
22V594,"Ford Motor Company",FORD,64974,17.1,53863
22V709,"General Motors, LLC",CADILLAC,95231,43.8,53520
23V598,"Ford Motor Company",LINCOLN,177402,71.1,51269
22V337,"Ford Motor Company",FORD,310203,83.5,51183
23V115,"Chrysler (FCA US, LLC)",DODGE,139019,63.2,51159
23V358,"Ford Motor Company",FORD,175550,73.4,46696
23V177,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,61450,31.7,41970
23V296,"Nissan North America, Inc.",NISSAN,94343,56.7,40851
23V704,"Honda (American Honda Motor Co.)",HONDA,264567,85,39685
23V744,"General Motors, LLC",BUICK,60154,35.5,38799
22V702,"Tesla, Inc.",TESLA,1096762,96.5,38387
22V796,"Daimler Vans USA, LLC",MERCEDES-BENZ,124305,69.5,37913
22V315,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,350294,89.3,37481
23V306,"Ford Motor Company",FORD,231942,85,34791
23V458,"Honda (American Honda Motor Co.)",HONDA,124077,72.3,34369
23V265,"Chrysler (FCA US, LLC)",RAM,131700,75.6,32135
22V640,"General Motors, LLC",CHEVROLET,120688,73.8,31620
23V576,"Chrysler (FCA US, LLC)",JEEP,181999,83.6,29848
23V410,"Kia America, Inc.",KIA,98944,71.7,28001
23V577,"Chrysler (FCA US, LLC)",JEEP,162713,83.4,27010
22V626,"Kia America, Inc.",KIA,36417,27.1,26548
23V105,"Daimler Trucks North America, LLC",FREIGHTLINER,60604,56.5,26363
22V953,"Ford Motor Company",LINCOLN,101001,74.3,25957
23V370,"Navistar, Inc.",INTERNATIONAL,59684,58.1,25008
23V191,"Chrysler (FCA US, LLC)",JEEP,35829,32.2,24292
23V100,"Daimler Vans USA, LLC",MERCEDES-BENZ,52993,57,22787
23V010,"Chrysler (FCA US, LLC)",CHRYSLER,67117,66.1,22753
23V775,"Ford Motor Company",FORD,45173,51.6,21864
23V073,"Daimler Trucks North America, LLC","WESTERN STAR",70167,69.9,21120
22V767,"Chrysler (FCA US, LLC)",JEEP,60413,66.6,20178
22V703,"Kia America, Inc.",KIA,70887,71.6,20132
23V534,"Kia America, Inc.",KIA,121411,83.7,19790
23V411,"Chrysler (FCA US, LLC)",JEEP,80629,77.1,18464
22V686,"Ford Motor Company",FORD,86050,78.8,18243
23V378,"Ford Motor Company",LINCOLN,142734,87.4,17984
22V954,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,131653,86.4,17905
23V610,"Kia America, Inc.",KIA,144979,88.5,16673
22V256,"Ford Motor Company",FORD,23165,28.2,16632
23V352,"Chrysler (FCA US, LLC)",JEEP,89372,81.9,16176
23V716,"Chrysler (FCA US, LLC)",JEEP,97066,85.3,14269
23V445,"Mercedes-Benz USA, LLC",MERCEDES-MAYBACH,143551,90.1,14212
23V298,"Kia America, Inc.",KIA,108936,87.2,13944
22V930,"General Motors, LLC",CHEVROLET,111242,88,13349
23V048,"Nissan North America, Inc.",NISSAN,64732,79.4,13335
23V799,"Chrysler (FCA US, LLC)",RAM,185251,93.1,12782
23V444,"Daimler Vans USA, LLC",MERCEDES-BENZ,20500,41.6,11972
22V624,"Subaru of America, Inc.",SUBARU,188397,93.9,11492
23V301,"Chrysler (FCA US, LLC)",RAM,165503,93.1,11420
23V302,"Chrysler (FCA US, LLC)",JEEP,25980,57.6,11016
23V142,"Toyota Motor Engineering & Manufacturing",TOYOTA,130266,91.6,10942
23V669,"Daimler Trucks North America, LLC","THOMAS BUILT BUSES",20668,48,10747
23V013,"General Motors, LLC",GMC,23323,55.2,10449
23V263,"Chrysler (FCA US, LLC)",JEEP,45832,77.4,10358
23V038,"Hyundai Motor America",HYUNDAI,16104,35.9,10323
23V595,"Ford Motor Company",FORD,41555,75.4,10223
22V762,"Daimler Trucks North America, LLC","THOMAS BUILT BUSES",17613,43.2,10004
23V178,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,70225,86.3,9621
23V480,"Toyota Motor Engineering & Manufacturing",TOYOTA,152927,93.8,9481
22V155,"Volkswagen Group of America, Inc.",AUDI,47238,80.2,9353
23V237,"Daimler Trucks North America, LLC",FREIGHTLINER,57504,84.4,8971
23V579,"Kia America, Inc.",KIA,50517,83.1,8537
22V880,"Ford Motor Company",FORD,18808,55.9,8294
23V059,"Chrysler (FCA US, LLC)",RAM,77079,89.4,8170
23V506,"Ford Motor Company",FORD,38695,79.3,8010
23V236,"Kia America, Inc.",KIA,51568,84.6,7941
23V333,"Daimler Trucks North America, LLC","THOMAS BUILT BUSES",23590,66.5,7903
23V634,"Kia America, Inc.",KIA,18224,57.7,7709
23V511,"Volvo Trucks North America",VOLVO,55012,86.1,7647
23V180,"Hyundai Motor America",HYUNDAI,167085,95.5,7519
22V836,"Kia America, Inc.",KIA,27030,72.2,7514
23V545,"Chrysler (FCA US, LLC)",JEEP,44708,83.2,7511
23V035,"Kia America, Inc.",KIA,31943,76.7,7443
23V573,"Ford Motor Company",FORD,18513,60.2,7368
22V869,"Navistar, Inc.",INTERNATIONAL,25822,72.6,7075
23V247,"General Motors, LLC",GMC,150830,95.4,6938
22V544,"Chrysler (FCA US, LLC)",JEEP,99186,93.2,6745
23V466,"Polaris Industries Inc.",POLARIS,22218,69.7,6732
23V248,"Navistar, Inc.",INTERNATIONAL,42054,84.7,6434
23V085,"Tesla, Inc.",TESLA,362758,98.3,6167
22V883,"Winnebago Towable",WINNEBAGO,6553,6.9,6101
23V336,"Chrysler (FCA US, LLC)",JEEP,17108,64.9,6005
23V692,"Kia America, Inc.",KIA,22768,73.7,5988
23V494,"Nissan North America, Inc.",NISSAN,66159,91,5954
23V208,"Daimler Trucks North America, LLC","WESTERN STAR",24282,75.5,5949
23V270,"Winnebago Towable",WINNEBAGO,10492,45.6,5708
22V746,"Hyundai Motor America",HYUNDAI,56148,90.1,5559
23V120,"Navistar, Inc.",INTERNATIONAL,27972,81.7,5119
23V116,"Chrysler (FCA US, LLC)",JEEP,69201,92.7,5052
23V266,"General Motors, LLC",CHEVROLET,40428,87.6,5013
23V384,"Toyota Motor Engineering & Manufacturing",TOYOTA,96007,94.9,4896
23V591,"Harley-Davidson Motor Company",HARLEY-DAVIDSON,65224,92.5,4892
23V129,"Royal Enfield North America Limited","ROYAL ENFIELD",4891,1.9,4798
23V233,"Rivian Automotive, LLC",RIVIAN,5030,7.7,4643
22V099,"Daimler Vans USA, LLC",MERCEDES-BENZ,17093,73.8,4478
23V195,"Honda (American Honda Motor Co.)",HONDA,15848,72.5,4358
23V488,"Tesla, Inc.",TESLA,15869,74.3,4078
23V418,"Ford Motor Company",FORD,16375,75.8,3963
22V939,"PACCAR Incorporated",PETERBILT,15658,75.5,3836
22V843,"Tesla, Inc.",TESLA,29348,87.4,3698
23V189,"Volkswagen Group of America, Inc.",AUDI,5224,30.6,3625
23V398,"Navistar, Inc.","IC BUS",15398,76.8,3572
23V065,"Navistar, Inc.","IC BUS",12507,71.8,3527
23V371,"Navistar, Inc.","IC BUS",19376,82.2,3449
23V049,"Winnebago Industries, Inc.",WINNEBAGO,9720,64.7,3431
23V311,"Winnebago Towable",WINNEBAGO,4313,22,3364
23V687,"Ford Motor Company",FORD,34762,90.6,3268
23V596,"Ford Motor Company",FORD,8523,62.8,3171
23V179,"Kia America, Inc.",KIA,3555,10.9,3168
22V861,"Volkswagen Group of America, Inc.",AUDI,50883,93.9,3104
23V397,"Navistar, Inc.",INTERNATIONAL,6786,54.3,3101
23V531,"Kia America, Inc.",KIA,39765,92.3,3062
23V578,"Trail King Industries, Inc.","TRAIL KING",5641,45.8,3057
23V526,"Hyundai Motor America",HYUNDAI,52109,94.4,2918
23V393,"Jaguar Land Rover North America, LLC","LAND ROVER",29861,90.3,2897
22V844,"Tesla, Inc.",TESLA,321628,99.1,2895
23V630,"Hyundai Motor America",GENESIS,19272,85.4,2814
23V412,"Chrysler (FCA US, LLC)",JEEP,12458,77.9,2753
23V094,"Hyundai Motor America",GENESIS,65517,95.8,2752
22V945,"Volkswagen Group of America, Inc.",VOLKSWAGEN,37558,92.9,2667
23V040,"Volkswagen Group of America, Inc.",VOLKSWAGEN,20904,87.5,2613
23V047,"General Motors, LLC",CHEVROLET,22132,88.6,2523
23V097,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,26116,90.6,2455
23V082,"Keystone RV Company",KEYSTONE,5564,56.5,2420
23V319,"PJ Trailers","PJ TRAILERS",4905,51.1,2399
22V715,"Corp. Micro Bird, Inc.","MICRO BIRD",2753,13.3,2387
23V551,"Subaru of America, Inc.",SUBARU,35357,93.5,2298
22V870,"Navistar, Inc.","IC BUS",5645,60.1,2252
22V863,"Winnebago Industries, Inc.",WINNEBAGO,4521,51.6,2188
22V658,"Shyft Group",UTILIMASTER,2139,0,2139
23V262,"Forest River, Inc.",COACHMEN,2616,21.1,2064
23V672,"Harley-Davidson Motor Company",HARLEY-DAVIDSON,4014,50,2007
23V377,"Ducati North America",DUCATI,3315,40.1,1986
23V109,"Rivian Automotive, LLC",RIVIAN,12716,84.4,1984
23V369,"Jaguar Land Rover North America, LLC",JAGUAR,6422,69.2,1978
23V285,"Thor Motor Coach","THOR MOTOR COACH",2919,32.9,1959
23V583,"Triumph Motorcycles America, Ltd.",TRIUMPH,7541,75.3,1863
23V113,"Thor Motor Coach","THOR MOTOR COACH",1969,6.1,1849
23V170,"Navistar, Inc.",INTERNATIONAL,5769,68.2,1835
22V271,"Daimler Trucks North America, LLC","THOMAS BUILT BUSES",2943,38,1825
23V589,"Hyundai Motor America",HYUNDAI,37997,95.3,1786
22V634,"Daimler Trucks North America, LLC","THOMAS BUILT BUSES",7561,77.4,1709
23V646,"Wabash National Corporation","WABASH NATIONAL",3711,54.8,1677
23V490,"Grand Design RV, LLC","GRAND DESIGN",6270,73.6,1655
23V062,"Shyft Group",SPARTAN,2336,29.3,1652
23V740,"Gillig, LLC",GILLIG,4286,62.2,1620
23V750,"Volkswagen Group of America, Inc.",VOLKSWAGEN,24025,93.3,1610
22V731,"Ford Motor Company",FORD,13455,88.2,1588
23V172,"General Motors, LLC",CADILLAC,8744,82.1,1565
23V086,"Volkswagen Group of America, Inc.",AUDI,12100,87.2,1549
23V033,"Porsche Cars North America, Inc.",PORSCHE,24467,93.7,1541
23V268,"Nissan North America, Inc.",NISSAN,12400,87.7,1525
22V417,"Shyft Group",UTILIMASTER,5551,72.8,1510
23V121,"Thor Motor Coach","THOR MOTOR COACH",1836,20.2,1465
23V214,"Volkswagen Group of America, Inc.",VOLKSWAGEN,15874,91.8,1302
23V655,"Diamond C Trailer MFG.","DIAMOND C TRAILERS",2523,48.5,1299
23V041,"Toyota Motor Engineering & Manufacturing",TOYOTA,16679,92.4,1268
23V423,"PACCAR Incorporated",PETERBILT,4967,74.7,1257
23V829,"Indian Motorcycle Company",INDIAN,1215,0,1215
23V394,"Jaguar Land Rover North America, LLC","LAND ROVER",12922,90.6,1215
23V068,"Thor Motor Coach","THOR MOTOR COACH",1557,22.8,1202
23V696,"Chrysler (FCA US, LLC)","ALFA ROMEO",4661,74.3,1198
23V204,"Daimler Vans USA, LLC",FREIGHTLINER,6857,82.9,1173
22V923,"General Motors, LLC",CHEVROLET,2108,44.6,1168
