campaign,read,sha256,remedy,summary,consequence
15V804,2026-09-09,facc485d0e678cb85106f66c3e816bf4c4ea37d5ca5ddb4d7cd6104a5f059f73,294,232,99
16V617,2026-09-10,15599975ddb67347be1f0e420d4a219a65c35fa30f2b3533dc5002d3a7de8ce4,248,477,70
17V053,2026-09-10,38105df5de6de610d5ff8b27ca6a2d73f4f12091e1338001a29b91b022384954,227,538,205
17V669,2026-09-10,e6949891f4293a1c0b51ec0759c4d959a9d6aa7221a35728af79012cc49f53ea,198,392,157
18V117,2026-09-10,33bfe6c722554337199967cf11098cd6960c9d3274659536b0a2ccf678f2b311,239,399,89
18V169,2026-09-10,24afd7edd39310721090bc3f9cc2c66cc8b58468c02f6e3fcc222b1d90fd0748,405,466,137
18V707,2026-09-10,b7d2535bb09343b578f3c779412aa85f7c01957b7bc1c7e4c390b34af87050d8,423,126,93
18V735,2026-09-10,1576ce740b868867ad88bb2f0cc29f29418edcc65e16b6aa23ea0df539574e66,532,228,162
18V845,2026-09-10,6b473e1e35fe2bcd1d99d8342dae69ae8e328ece8183e79a8df7609f33185575,350,262,137
19V031,2026-09-10,b6e33e817b65316f6ad91d22de23e56440c4582b265c2386477b8111b50e74af,247,217,141
19V076,2026-09-10,d08ad8080bde68c702f27af6bd92c89da6d4b864fbcfeeb62f9c1b2c05c23c4b,240,354,206
19V293,2026-09-10,96df198366757fbfc725914afbee64a04789de53804dd4448c8e9a884bbd11cb,404,212,248
20V097,2026-09-10,d3e65e31ab38a9eaa2bfc280c7ce71ac95d7ba959877c74fe292e6f7441c3ec0,225,526,95
20V262,2026-09-10,408a0df9eeebc67c6458cd5d8c9e830d4001fb143f6d25e0d142a74ac1ef1818,360,450,170
20V263,2026-09-09,1595ffe148db85ac380898db0dc54b6636aaa2353244c79e8b8c8cbe05196be2,222,198,161
20V438,2026-09-10,c05b93cdd73adcda64627300ad59f348becbb572cc2d0d43c862e8378371141d,224,511,142
20V769,2026-09-10,05feb51d7ccb8aa5132318ad61b7c82ef8d05907e28f1b5e9b6b1f2dc2150ff2,242,687,232
20V795,2026-09-09,c833b13f77589aa693db93bc4cf91cf8a624a20203fc5069c9bcde9fa0a842a9,574,189,193
21V537,2026-09-09,246462cc2a9054cb0c63d85f82d58d965250408bf1e6987aa234a54d7b981c14,578,542,98
22V183,2026-09-09,21cd096635991163842aa83f27eb1608d7b072aa53c85ea3713686e91b28229d,242,250,155
22V415,2026-09-10,b6f2e50b10a5e2c5f0bc7219933f7a44e142e9d5d4bceefb7dcb9cd87eb5fe77,227,490,134
