id,campaign,field,before,after,before_read,after_read
b9abc778126d937f,26V461,remedy,"Dealers will install rivets along the driver's side window seam and entrance door seam, free of charge. Owner notification letters are expected to be mailed September 14, 2026. Owners may contact International's customer service at 1-800-448-7825. International's number for this recall is 26512.","Dealers will install rivets along the driver's side window seam and entrance door seam, free of charge. Owner notification letters were mailed September 8, 2026. Owners may contact International's customer service at 1-800-448-7825. International's number for this recall is 26512.",2026-09-11T16:40:57+00:00,2026-09-12T17:41:11+00:00
3b98fd696b05108e,26V465,remedy,"Dealers will install the rear impact guard extension channels, free of charge. Owner notification letters are expected to be mailed September 15, 2026. Owners may contact Great Dane's customer service at 1-877-369-3493.","Dealers will install the rear impact guard extension channels, free of charge. Owner notification letters were mailed September 3, 2026. Owners may contact Great Dane's customer service at 1-877-369-3493.",2026-09-12T05:04:08+00:00,2026-09-12T11:19:38+00:00
468b2cb2511f409e,26V460,remedy,"Dealers will install rivets along the driver's side window seam and entrance door seam, free of charge. Owner notification letters are expected to be mailed September 14, 2026. Owners may contact International's customer service at 1-800-448-7825. International's number for this recall is 26511.","Dealers will install rivets along the driver's side window seam and entrance door seam, free of charge. Owner notification letters were mailed September 8, 2026. Owners may contact International's customer service at 1-800-448-7825. International's number for this recall is 26511.",2026-09-12T04:49:20+00:00,2026-09-12T11:04:05+00:00
6e99c49577c2dba4,26V459,remedy,"Dealers will install plastic saddles onto the positive interconnect cable, install wind laces and a J-bolt between each battery, free of charge. Owner notification letters are expected to be mailed October 26, 2026. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 26510. This recall replaces and expands NHTSA Recall 25V534. Vehicles previously repaired under 25V534 will need the new remedy completed.","Dealers will install plastic saddles onto the positive interconnect cable, install wind laces and a J-bolt between each battery, free of charge. Interim letters notifying owners of the safety risk were mailed September 8, 2026. Owners will receive another notice once remedy becomes available. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 26510. This recall replaces and expands NHTSA Recall 25V534. Vehicles previously repaired under 25V534 will need the new remedy completed.",2026-09-12T04:49:20+00:00,2026-09-12T11:04:05+00:00
2cbe588a6a9de640,26V458,remedy,"Dealers will drill additional drain holes in the underside of the tailgate trim. Additionally, dealers will inspect and replace the rearview camera as necessary. Repairs will be performed free of charge. Interim letters notifying owners of the safety risk are expected to be mailed September 11, 2026. Additional letters will be sent once the remedy is available. Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is D145.","Dealers will drill additional drain holes in the underside of the tailgate trim. Additionally, dealers will inspect and replace the rearview camera as necessary. Repairs will be performed free of charge. Owner notification letters were mailed September 10, 2026. Owners may contact Land Rover customer service at 1-800-637-6837. Land Rover's number for this recall is D145.",2026-09-12T04:49:20+00:00,2026-09-12T11:04:05+00:00
6339e4bd2486e2d5,26V347,summary,"Forest River Bus, LLC (Forest River Bus) is recalling certain 2026 Glaval Titan II, Primetime, Entourage, Concorde II, Commute, Forest River Bus Eldorado, Champion Bus, Starcraft Starlite, Allstar XL, 2026-2027 Glaval Universal, Starcraft Allstar, Startrans Candidate II, and 2025-2027 Forest River Bus Senator II, equipped with certain QRT-3 wheelchair retractors. The retractors may not lock, preventing the wheelchair from being properly secured.","Forest River Bus, LLC (Forest River Bus) is recalling certain 2026 Glaval Titan II, Primetime, Entourage, Concorde II, Commute, Forest River Bus Eldorado, Champion Bus, Starcraft Starlite, Allstar XL, Forest River Van, 2026-2027 Glaval Universal, Starcraft Allstar, Startrans Candidate II, 2025-2026 Mobility Trans Safetbus, and 2025-2027 Forest River Bus Senator II, equipped with certain QRT-3 wheelchair retractors. The retractors may not lock, preventing the wheelchair from being properly secured.",2026-09-12T04:19:01+00:00,2026-09-12T10:34:42+00:00
d60f65f1bdbad7ab,26V180,remedy,"Dealers will inspect and replace the front passenger seat frame assembly, as necessary, free of charge. Interim letters notifying owners of the safety risk were mailed April 27, 2026. Additional letters will be sent once the final remedy is available, anticipated September 17, 2026. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26LB03 and 26LA03.","Dealers will inspect and replace the front passenger seat frame assembly, as necessary, free of charge. Interim letters notifying owners of the safety risk were mailed April 27, 2026. Additional letters will be sent once the final remedy is available, anticipated September 17 - October 1, 2026. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 26LB03 and 26LA03.",2026-09-12T03:49:42+00:00,2026-09-12T10:04:15+00:00
ca4c73afb38d00ec,26V128,remedy,"Dealers will replace the return springs in the seat back recliner assemblies, free of charge. Interim letters notifying owners of the safety risk were mailed April 27, 2026. Additional letters will be sent once the final remedy is available, anticipated August 27, 2026. This is a phased recall. Owners may contact Toyota’s customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB06 and 26TA06.","Dealers will replace the return springs in the seat back recliner assemblies, free of charge. Owner letters were mailed September 9, 2026. This is a phased recall. Owners may contact Toyota’s customer service at 1-800-331-4331. Toyota's numbers for this recall are 26TB06 and 26TA06.",2026-09-12T03:34:50+00:00,2026-09-12T09:49:09+00:00
0751acfb609184b5,26V495,summary,"Chrysler (FCA US, LLC) is recalling certain 2019-2026 Ram 1500 vehicles. The second-row seat belt buckle anchors may have been improperly installed. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 210, ""Seat Belt Assembly Anchorages.""","Chrysler (FCA US, LLC) is recalling certain 2019-2026 Ram 1500 vehicles. The second-row center and left-side seat belt buckle anchors may have been improperly installed. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 210, ""Seat Belt Assembly Anchorages.""",2026-09-11T05:19:01+00:00,2026-09-11T11:19:07+00:00
c96ed6ee85724c8f,26V452,remedy,"Passengers are advised not to use the rear center seat until the recall remedy is performed. Dealers will replace the seat belt buckle assembly, free of charge. Owner notification letters are expected to be mailed September 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 306. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 15, 2026.","Passengers are advised not to use the rear center seat until the recall remedy is performed. Dealers will replace the seat belt buckle assembly, free of charge. Owner notification letters were mailed September 2, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 306. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on July 15, 2026.",2026-09-11T05:05:46+00:00,2026-09-11T11:04:29+00:00
