make,model,component,times,first_seen,last_seen,campaigns
FORD,TRANSIT,SEATS,10,18V782000,19V333000,"18V782000; 19V205000; 19V229000; 19V238000; 19V247000; 19V252000; 19V313000; 19V329000; 19V332000; 19V333000"
TOYOTA,TUNDRA,EQUIPMENT:OTHER:LABELS,10,16V420000,26V179000,"16V420000; 17V831000; 18V711000; 18V900000; 19V244000; 22V854000; 23V633000; 23V757000; 24V548000; 26V179000"
JAGUAR,I-PACE,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",8,23V369000,26V067000,"23V369000; 23V709000; 24V085000; 24V086000; 24V183000; 24V633000; 24V927000; 26V067000"
FORD,BRONCO,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",6,22V825000,25V888000,"22V825000; 23V165000; 23V598000; 25V273000; 25V312000; 25V888000"
FORD,EXPLORER,SUSPENSION:REAR,6,19V435000,26V101000,"19V435000; 20V675000; 21V154000; 21V537000; 21V870000; 26V101000"
FORD,EXPLORER,"BACK OVER PREVENTION:SOFTWARE",6,21V735000,26V165000,"21V735000; 24V801000; 25V159000; 25V442000; 26V123000; 26V165000"
PORSCHE,TAYCAN,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",6,23V615000,24V732000,"23V615000; 23V840000; 24V215000; 24V217000; 24V731000; 24V732000"
FORD,F-150,"EXTERIOR LIGHTING:LIGHTING CONTROL MODULE",5,22V686000,25V517000,"22V686000; 23V802000; 24V682000; 25V515000; 25V517000"
FORD,MUSTANG,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",5,19V076000,26V372000,"19V076000; 20V263000; 24V802000; 25V516000; 26V372000"
FORD,TRANSIT,"POWER TRAIN:DRIVELINE:DRIVESHAFT",5,17V408000,24V102000,"17V408000; 19V103000; 19V767000; 21V978000; 24V102000"
JEEP,"GRAND CHEROKEE","BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",5,20V191000,24V436000,"20V191000; 21V729000; 24V289000; 24V291000; 24V436000"
"LAND ROVER","RANGE ROVER",LATCHES/LOCKS/LINKAGES:DOORS:LATCH,5,15V385000,20V387000,"15V385000; 19V390000; 19V392000; 20V325000; 20V387000"
"LAND ROVER","RANGE ROVER SPORT",LATCHES/LOCKS/LINKAGES:DOORS:LATCH,5,15V385000,20V387000,"15V385000; 19V390000; 19V392000; 20V325000; 20V387000"
TOYOTA,HIGHLANDER,EQUIPMENT:OTHER:LABELS,5,16V420000,24V548000,"16V420000; 17V831000; 19V244000; 22V310000; 24V548000"
BMW,I4,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",4,22V541000,25V470000,"22V541000; 23V295000; 24V135000; 25V470000"
CHRYSLER,PACIFICA,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",4,19V886000,26V327000,"19V886000; 20V191000; 24V436000; 26V327000"
CHRYSLER,PACIFICA,"AIR BAGS:SIDE/WINDOW:CURTAIN",4,24V793000,26V189000,"24V793000; 25V302000; 25V573000; 26V189000"
CHRYSLER,VOYAGER,"AIR BAGS:SIDE/WINDOW:CURTAIN",4,24V793000,26V189000,"24V793000; 25V302000; 25V573000; 26V189000"
FORD,BRONCO,LATCHES/LOCKS/LINKAGES:DOORS:LOCK,4,22V411000,25V397000,"22V411000; 24V189000; 25V303000; 25V397000"
FORD,EDGE,"BACK OVER PREVENTION:SOFTWARE",4,25V160000,26V124000,"25V160000; 25V315000; 25V442000; 26V124000"
FORD,EXPLORER,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",4,20V575000,24V188000,"20V575000; 23V022000; 23V342000; 24V188000"
FORD,F-150,ENGINE,4,17V672000,20V098000,"17V672000; 18V894000; 19V278000; 20V098000"
FORD,F-150,"POWER TRAIN:AUTOMATIC TRANSMISSION",4,18V213000,26V402000,"18V213000; 23V070000; 26V237000; 26V402000"
FORD,MUSTANG,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",4,20V575000,25V695000,"20V575000; 22V082000; 25V572000; 25V695000"
FORD,TRANSIT,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",4,20V575000,25V572000,"20V575000; 23V598000; 25V242000; 25V572000"
FORD,TRANSIT,"BACK OVER PREVENTION:DISPLAY FUNCTION",4,22V183000,25V887000,"22V183000; 22V186000; 22V621000; 25V887000"
HONDA,ACCORD,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",4,20V314000,24V763000,"20V314000; 21V215000; 23V858000; 24V763000"
HONDA,CIVIC,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",4,20V314000,24V763000,"20V314000; 21V215000; 23V858000; 24V763000"
HONDA,ODYSSEY,"SEATS:MID/REAR ASSEMBLY",4,16V932000,18V170000,"16V932000; 16V933000; 17V725000; 18V170000"
HONDA,ODYSSEY,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",4,20V438000,26V423000,"20V438000; 20V439000; 20V440000; 26V423000"
JEEP,WRANGLER,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",4,22V768000,25V741000,"22V768000; 23V303000; 23V787000; 25V741000"
NISSAN,MAXIMA,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP",4,16V193000,19V807000,"16V193000; 16V636000; 18V601000; 19V807000"
TOYOTA,RAV4,EQUIPMENT:OTHER:LABELS,4,16V236000,19V503000,"16V236000; 17V831000; 19V244000; 19V503000"
"ALFA ROMEO",GIULIA,"SERVICE BRAKES, HYDRAULIC",3,17V823000,23V382000,"17V823000; 21V309000; 23V382000"
"ALFA ROMEO",STELVIO,"SERVICE BRAKES, HYDRAULIC",3,17V823000,23V382000,"17V823000; 21V309000; 23V382000"
AUDI,"E-TRON GT","ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",3,24V228000,24V726000,"24V228000; 24V229000; 24V726000"
BENTLEY,BENTAYGA,SEATS,3,16V816000,23V386000,"16V816000; 22V257000; 23V386000"
BMW,IX,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",3,22V541000,25V470000,"22V541000; 23V295000; 25V470000"
BMW,X3,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",3,17V719000,20V152000,"17V719000; 19V291000; 20V152000"
BMW,X3,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",3,19V684000,20V598000,"19V684000; 20V443000; 20V598000"
BMW,X3,"ELECTRICAL SYSTEM:STARTER ASSEMBLY",3,25V202000,26V438000,"25V202000; 26V056000; 26V438000"
BMW,X5,EQUIPMENT:OTHER:LABELS,3,17V327000,24V327000,"17V327000; 18V918000; 24V327000"
CHEVROLET,SUBURBAN,"SEAT BELTS:CRITICAL FASTENERS",3,20V792000,22V617000,"20V792000; 20V811000; 22V617000"
CHEVROLET,TAHOE,"SEAT BELTS:CRITICAL FASTENERS",3,20V792000,22V617000,"20V792000; 20V811000; 22V617000"
DUCATI,XDIAVEL,"STRUCTURE:MOTORCYCLE:KICKSTAND/CENTER STAND",3,16V729000,23V620000,"16V729000; 21V085000; 23V620000"
FORD,BRONCO,"SUSPENSION:FRONT:CONTROL ARM:UPPER BALL JOINT",3,24V770000,25V310000,"24V770000; 25V260000; 25V310000"
FORD,BRONCO,"SEATS:CRITICAL FASTENERS",3,25V311000,26V268000,"25V311000; 25V721000; 26V268000"
FORD,EXPLORER,"SEATS:MID/REAR ASSEMBLY",3,19V633000,26V451000,"19V633000; 25V393000; 26V451000"
FORD,EXPLORER,"POWER TRAIN:DRIVELINE:DRIVESHAFT",3,20V693000,25V166000,"20V693000; 23V675000; 25V166000"
FORD,EXPLORER,ENGINE,3,20V788000,24V598000,"20V788000; 22V454000; 24V598000"
FORD,EXPLORER,STRUCTURE:BODY,3,21V316000,26V448000,"21V316000; 25V347000; 26V448000"
FORD,EXPLORER,"POWER TRAIN:AUTOMATIC TRANSMISSION",3,23V070000,26V402000,"23V070000; 26V371000; 26V402000"
FORD,EXPLORER,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",3,24V635000,26V343000,"24V635000; 25V344000; 26V343000"
FORD,F-150,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",3,17V053000,26V370000,"17V053000; 25V540000; 26V370000"
FORD,F-150,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",3,20V332000,25V236000,"20V332000; 22V150000; 25V236000"
FORD,F-150,"POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE (TCM/PCM/TECM)",3,22V188000,26V375000,"22V188000; 25V169000; 26V375000"
FORD,FOCUS,"POWER TRAIN:MANUAL TRANSMISSION",3,18V169000,26V376000,"18V169000; 18V845000; 26V376000"
FORD,FOCUS,"FUEL SYSTEM, GASOLINE:STORAGE:EVAPORATIVE EMISSIONS:CANISTER",3,18V735000,26V369000,"18V735000; 19V515000; 26V369000"
FORD,TRANSIT,"SEAT BELTS:FRONT:RETRACTOR",3,20V222000,21V592000,"20V222000; 20V250000; 21V592000"
FORD,TRANSIT,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",3,22V415000,25V339000,"22V415000; 22V791000; 25V339000"
FORD,"TRANSIT CONNECT",LATCHES/LOCKS/LINKAGES:DOORS:LATCH,3,16V643000,23V502000,"16V643000; 20V331000; 23V502000"
HONDA,FIT,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",3,20V314000,23V858000,"20V314000; 21V215000; 23V858000"
HONDA,HR-V,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",3,20V314000,23V858000,"20V314000; 21V215000; 23V858000"
HONDA,INSIGHT,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",3,20V314000,23V858000,"20V314000; 21V215000; 23V858000"
HONDA,RIDGELINE,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",3,19V053000,23V858000,"19V053000; 21V215000; 23V858000"
JEEP,CHEROKEE,"POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT",3,16V284000,18V494000,"16V284000; 16V287000; 18V494000"
