maker,campaigns,total,open,share
"Klintberg and Way Parts AB",25,2415,1789,0.7408
"Knaus Tabbert AG",7,3781,2150,0.5686
"Mercedes-Benz Nederland B.V. (Vans)",154,240957,105689,0.4386
"Ferrari SpA",12,2806,1143,0.4073
"Daimler Trucks Nederland B.V.",133,15371,5877,0.3823
"BMW Nederland B.V.",241,430220,160264,0.3725
"Jaguar Land Rover Nederland B.V.",135,50044,17223,0.3442
"Renault Trucks Nederland - terugroepacties",7,6452,2085,0.3232
"Mercedes-Benz Nederland B.V. (Cars)",341,274927,79927,0.2907
"Scania Nederland B.V.",8,3912,1082,0.2766
"MAN Trucks & Bus B.V.",16,3445,919,0.2668
"Harley-Davidson Benelux BV",35,14523,3781,0.2603
"JeeGee Motors B.V.",46,2027,513,0.2531
"Ford Nederland B.V.",212,373305,87242,0.2337
"Piaggio Vespa B.V.",35,15611,3635,0.2328
"Hymer GmbH & Co. KG",6,2584,596,0.2307
"Yamaha Motor Nederland B.V.",52,32433,6781,0.2091
"Aston Martin Lagonda Ltd",16,2329,477,0.2048
"Stellantis Nederland B.V.",872,1101654,219927,0.1996
"Hyundai Motor Netherlands b.v.",86,166291,32414,0.1949
"Pon's Automobielhandel B.V.",375,569289,93649,0.1645
"Kia Nederland B.V.",60,153043,24322,0.1589
"KTM Sportmotorcycle Nederland B.V.",39,8036,1228,0.1528
"Ducati North Europe",34,5924,811,0.1369
"Kawasaki Motors Europe N.V.",26,2501,304,0.1216
"Mitsubishi Motor Sales Nederland B.V.",58,189362,21290,0.1124
"N.V. Subaru Benelux",29,23513,2378,0.1011
"Honda Motor Europe Benelux Branche",102,104049,7868,0.0756
"Volvo Cars Nederland B.V.",91,310068,21125,0.0681
"Pon's Automobielhandel B.V. (Luxury Cars)",106,28629,1861,0.065
"Louwman & Parqui B.V.",215,767631,49682,0.0647
"Triumph Motorcycles B.V.",40,10923,691,0.0633
"Nissan Nederland",96,221396,13888,0.0627
"B.V. Nimag",73,141155,8804,0.0624
"Mazda Motor Nederland",74,140941,8772,0.0622
"Renault Nederland N.V.",153,214642,7421,0.0346
"Tesla Motors Netherlands BV",24,95252,3134,0.0329
