maker_code,us_year,year_gap,needs_review,review_reason,us_campaign,nl_reference,reported_by,nl_announced,nl_reported,nl_owners,nl_published,nl_defect,nl_conseq,us_conseq,us_remedy,us_reported
18S07,2018,0,false,,18V169,MGP180340,"Ford Nederland B.V.",2018-07-05,2018-07-17,2018-09-24,2018-07-19,"In de koppelingsdrukplaat kunnen barsten ontstaan.","De koppeling kan slippen. Hierdoor is de rijsnelheid gereduceerd, zijn de voertuigprestaties beperkt en verspreidt de koppeling een geur. In extreme gevallen komen fragmenten van de koppeling/transmissie los en raken deze de componenten onder de motorkap.","A transmission fluid leak in the presence of an ignition source such as hot engine or exhaust components can increase the risk of a fire.","Ford will notify owners, and dealers will update the Focus vehicles with software that detects and prevents prolonged clutch slip, and will replace the clutch, as necessary, free of charge. Owners of Fusion vehicles will have their clutch assembly replaced free of charge. The recall began August 3, 2018. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 18S07.",2018-12-03
18S29,2018,0,false,,18V707,MGP180515,"Ford Nederland B.V.",2018-10-18,2018-10-23,2018-11-01,2018-10-31,"Door een softwarefout kan er hydraulische vloeistof, van het kleppenblok dat de achtervleugel regelt, op de uitlaat lekken.","Brand in de motorruimte.","A hydraulic fluid leak in the presence of an ignition source can increase the risk of a fire.","Ford will notify owners, and dealers will perform a software update to the fully integrated vehicle controller. Some vehicles will have a rear wing hydraulic check valve installed and will have the o-rings and the filter replaced, if needed. The repairs will be performed free of charge. The recall began November 30, 2018. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 18S29.",2018-09-10
R89978,2026,7,true,"years too far apart",26V072,MGP190546,"Volvo Cars Nederland B.V.",2019-11-29,,2020-01-22,2019-12-30,"Een kunststof onderdeel van de deurvergrendeling kan breken als gevolg van hoge omgevingstemperaturen, temperatuurwisselingen en de statische veerbelasting in het slot.","De deur kan tijdens het rijden onbedoeld open gaan als een kunststof onderdeel van deurvergrendeling is gebroken.","A door that is not securely latched can open unexpectedly, increasing the risk of injury.","Dealers will replace all four door latches, free of charge. Owner notification letters were mailed March 11, 2026. Owners may contact Volvo Car’s customer service at 1-800-458-1552. Volvo Car's number for this recall is R89978. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on January 19, 2026. This recall expands previous NHTSA recall number 19V849.",2026-06-02
21S32,2021,1,false,,21V537,MGP220161,"Ford Nederland B.V.",2022-02-25,2022-12-14,2022-12-13,2022-04-15,"De kogelbout van de reactiestang kan vastlopen als gevolg van strooizout.","Hierdoor kan het buitenste deel van de reactiestang van de achterwielophanging barsten, waardoor het voertuig moeilijk te besturen is.","A rear toe-link fracture can result in a loss of steering control, increasing the risk of a crash.","Dealers will inspect and replace as necessary, the cross-axis ball joint (CABJ) knuckle, and replace the rear suspension toe links, free of charge. This recall is an expansion of previous NHTSA recall numbers 16V-245, 19V-435, and 20V-675. Certain vehicles previously repaired will need to return for the new remedy. An interim notification letter notifying owners of the safety risk were mailed on September 10, 2021. Owner notification letters were mailed on March 16, 2022. Owners may contact Ford's customer service at 1-866-436-7332. Ford's number for this recall is 21S32.",
23S27,2023,0,false,,23V380,MGP230240,"Ford Nederland B.V.",2023-05-31,2023-06-22,2023-07-05,2023-06-22,"Door een motorstoring kan een scheur in het cilinderblok ontstaan.","Hierdoor is het mogelijk dat olie ontsnapt, waardoor in combinatie met de hitte in de motorruimte, brand onder de motorkap kan ontstaan.","An engine compartment fire increases the risk of injury.","Owners are advised to park and shut off the engine as quickly as possible if they hear unexpected engine noises, notice a reduction in vehicle power, or see smoke. Dealers will replace the engine long-block in 2023 Escape and Corsair vehicles. For the other vehicles, dealers will update the powertrain control module software. If a connecting rod bearing failure is detected, dealers will replace the engine long-block. All inspections and repairs will be performed free of charge. Owner notification letters were mailed on June 14, 2024. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 23S27. This recall expands and replaces recall number 22V-484. Vehicles previously repaired under 22V-484 will need to have the new remedy completed.",
23S53,2023,0,false,,23V626,MGP230381,"Ford Nederland B.V.",2023-10-10,2023-10-10,2023-11-20,2023-10-12,"De hoogspanningsaccu kan een productiefout bevatten waardoor in de cel met lage capaciteit een inwendige kortsluiting kan ontstaan.","Het motorstoringlampje gaat branden in geval van interne kortsluiting. Mogelijk verlies van aandrijfkracht waardoor het risico op een aanrijding toeneemt. Er kan thermische ontluchting van de accu plaatsvinden, wat kan leiden tot een voertuigbrand.","Battery failure can cause a loss of drive power, increasing the risk of a crash. Battery failure can also increase the risk of a fire.","Dealers will perform a Battery Energy Control Module (BECM) diagnostic test and replace the high voltage battery pack, as necessary, free of charge. Owner notification letters were mailed on April 8, 2024. Owners may contact Ford customer service at 1-866-436-7332. Ford Motor Company's number for this recall is 23S53.",2023-08-09
23S56,2025,2,false,,25V441,MGP230419,"Ford Nederland B.V.",2023-10-20,2023-11-08,2023-11-20,2023-11-08,"In het hoofdrelais van de hoogspanningsaccu kan overgangsweerstand ontstaan. Als gevolg kan deze overhit raken, vast gaan zitten, niet meer schakelen of niet meer sluiten.","Het voertuig kan bij een volgende keer gebruik niet meer gaan rijden, of, de aandrijving van het voertuig valt tijdens het rijden onverwacht uit.","An overheated high voltage battery contactor can result in a loss of drive power, increasing the risk of a crash.","Dealers will replace the high voltage battery junction box, free of charge. Owner notification letters were mailed July 10, 2025. Owners may contact Ford Customer Service at 1-866-436-7332. Ford's number for this recall is 23S56. This recall is an expansion of previous NHTSA recall number 23V687.",
23C35,2023,0,false,,23V727,MGP230470,"Ford Nederland B.V.",2023-12-11,2023-12-11,2023-12-13,2023-12-11,"De controlelamp van het remsysteem gaat niet branden wanneer het remvloeistofpeil onder het minimum peil in het remvloeistofreservoir komt.","Verliezen van remcapaciteit, niet kunnen remmen.","Without a low brake fluid warning light, the vehicle may be driven with low brake fluid, reducing braking performance and increasing the risk of a crash.","Dealers will update the body control module software, free of charge. Owner notification letters were mailed December 21, 2023. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 23C35.",
23S48,2025,2,false,,25V273,MGP240003,"Ford Nederland B.V.",2023-12-11,2024-01-04,2023-12-11,2024-01-05,"De digitale achteruitrijcamera kan geen beeld of sporadisch een blauw of zwart beeld weergeven tijdens het rijden met lage snelheden.","De bestuurder heeft minder zicht tijdens het achteruitrijden dan verwacht.","Loss of the rearview camera image can reduce the driver's view of what is behind the vehicle, increasing the risk of a crash.","Dealers will replace the rearview camera, free of charge. Owner notification letters were mailed October 8, 2025. Owners may contact Ford Customer Service at 1-866-436-7332. Ford's number for this recall is 23S48. This recall expands previous recall number 23V-598.",
24S33,2025,1,false,,25V881,MGP240197,"Ford Nederland B.V.",2024-07-03,2024-07-03,2024-07-03,2024-07-03,"Er zit een fout in een doorgevoerde softwareupdate.","De aandrijving van het rijdende voertuig kan overschakelen op parkeer-/kruipsnelheid. Als gevolg zal het voertuig onverwacht vertragen.","A loss of drive power increases the risk of a crash.","Dealers will update the HPCM software, free of charge. Owner notification letters were mailed February 12, 2026. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 24S33. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning January 15, 2026. This is an expansion of Recalls 24V330 (24S33) and 25V133 (25S16).",
