maker_code,us_campaign,nl_reference,reported_by,us_score,nl_score,us_flags,nl_flags,gap,us_text,nl_text
SRVRCL26001,26V050,MGP260038,"Ducati North Europe",3,0,"crash; injury; no_warning",,3,"A sudden loss of rear brake function increases the risk of a crash or injury.","De achterremmen kunnen remdruk verliezen."
21S32,21V537,MGP220161,"Ford Nederland B.V.",2,0,"crash; loss_of_control",,2,"A rear toe-link fracture can result in a loss of steering control, increasing the risk of a crash.","Hierdoor kan het buitenste deel van de reactiestang van de achterwielophanging barsten, waardoor het voertuig moeilijk te besturen is."
RP1063,25V453,MGP250233,"Volvo Cars Nederland B.V.",2,0,"crash; injury",,2,"Damage to harnesses can cause various electrical malfunctions, such as a loss of power steering assist, increasing the risk of a crash or injury.","Verschillende electronische storingen waaronder verlies van de stuurbekrachtiging."
25SD9,25V860,MGP260085,"Ford Nederland B.V.",2,0,"crash; injury",,2,"A loss of drive power increases the risk of a crash. In addition, a half shaft that is not fully engaged to the primary drive unit can result in a vehicle rollaway if the parking brake is not applied, increasing the risk of a crash or injury.","Hierdoor kan lekkage en uiteindelijk verlies van aandrijfkracht optreden. Ook kan het voertuig onbedoeld bewegen in de parkeerstand."
R10365,26V136,MGP260093,"Volvo Cars Nederland B.V.",2,0,"crash; injury",,2,"An audible warning chime that does not properly alert of an unbelted seat belt can increase the risk of injury during a crash.","De bestuurder krijgt geen waarschuwing als de inzittenden geen veiligheidsgordel dragen."
18S07,18V169,MGP180340,"Ford Nederland B.V.",1,0,fire,,1,"A transmission fluid leak in the presence of an ignition source such as hot engine or exhaust components can increase the risk of a fire.","De koppeling kan slippen. Hierdoor is de rijsnelheid gereduceerd, zijn de voertuigprestaties beperkt en verspreidt de koppeling een geur. In extreme gevallen komen fragmenten van de koppeling/transmissie los en raken deze de componenten onder de motorkap."
23S27,23V380,MGP230240,"Ford Nederland B.V.",2,1,"fire; injury",fire,1,"An engine compartment fire increases the risk of injury.","Hierdoor is het mogelijk dat olie ontsnapt, waardoor in combinatie met de hitte in de motorruimte, brand onder de motorkap kan ontstaan."
23C35,23V727,MGP230470,"Ford Nederland B.V.",1,0,crash,,1,"Without a low brake fluid warning light, the vehicle may be driven with low brake fluid, reducing braking performance and increasing the risk of a crash.","Verliezen van remcapaciteit, niet kunnen remmen."
23S48,25V273,MGP240003,"Ford Nederland B.V.",1,0,crash,,1,"Loss of the rearview camera image can reduce the driver's view of what is behind the vehicle, increasing the risk of a crash.","De bestuurder heeft minder zicht tijdens het achteruitrijden dan verwacht."
CR285,25V013,MGP250024,"Ducati North Europe",3,2,"crash; injury; no_warning","crash; no_warning",1,"A sudden loss of the rear brakes increases the risk of a crash or injury.","Dit kan leiden tot een plotseling verlies van remkracht in de achterwielrem. Dit vergroot de kans op een ongeval."
