uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2026/345,2026-09-04,Ford,Mustang,26C32,26V418,2026-06-30,-66,2026319,2026-06-30,0,https://carsmultiverse.com/uk-recall/r-2026-345/
R/2026/236,2026-09-01,"Adria Concessionaires","Twin 640 SPX, Compact SC, Compact SP and 20 more",165ISOFIX,,,,,,3,https://carsmultiverse.com/uk-recall/r-2026-236/
R/2026/289,2026-08-31,Ford,Ranger,26S35,26V343,2026-05-27,-96,2026258,2026-05-27,1,https://carsmultiverse.com/uk-recall/r-2026-289/
R/2026/160,2026-08-27,Ford,"Kuga and Ranger",26S10,26V122,2026-03-03,-177,2026094,2026-03-03,0,https://carsmultiverse.com/uk-recall/r-2026-160/
R/2026/341,2026-08-26,"Laika Caravans S.P.A.","Kreos H 5109",REC2601,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-341/
R/2026/328,2026-08-13,"Husqvarna Motorcycles","FE 501, FE 250, FE 250 Heritage and 13 more",132698518,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-328/
R/2026/253,2026-08-03,Kia,PV5,261105261106261107,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-253/
R/2025/369,2026-07-31,Ford,Mustang,25S75,25V455,2025-07-07,-389,2025366,2025-07-08,0,https://carsmultiverse.com/uk-recall/r-2025-369/
R/2026/300,2026-07-20,"Aston Martin","Valkyrie Coupe and Valkyrie Spider",RA062062,26V359,2026-06-03,-47,,,0,https://carsmultiverse.com/uk-recall/r-2026-300/
R/2026/290,2026-07-14,"Nissan (Gb)",Qashqai,PG5CA,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-290/
R/2026/233,2026-07-13,"Bmw Motorrad",K17,0000612800,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-233/
R/2026/207,2026-07-13,Kia,K4,261M20,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-207/
R/2026/272,2026-07-13,"Volvo Car",XC40,R10388,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-272/
R/2026/265,2026-07-10,"Nissan (Gb)",X-Trail,R26A5,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-265/
R/2026/261,2026-07-03,Ford,"Transit Custom",26S33,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-261/
R/2026/291,2026-06-24,"Volvo Trucks","FH and FM",M0410,,,,2023346,2023-06-14,0,https://carsmultiverse.com/uk-recall/r-2026-291/
R/2026/221,2026-06-19,Mercedes-Benz,GLE,9190322,,,,2026266,2026-06-01,0,https://carsmultiverse.com/uk-recall/r-2026-221/
R/2026/159,2026-06-15,Hyundai,"Ioniq AE EV",61D018,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-159/
R/2025/553,2026-06-12,"Land Rover","Discovery Sport, Range Rover Evoque, Defender and 1 more",D080D122,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-553/
R/2026/213,2026-05-28,Ford,"Edge, Mustang and Transit Connect",25S89,25V572,2025-04-09,-414,2025449,2025-09-03,0,https://carsmultiverse.com/uk-recall/r-2026-213/
R/2026/140,2026-05-15,Mercedes-Benz,G-Class,4090108,,,,2026148,2026-03-27,1,https://carsmultiverse.com/uk-recall/r-2026-140/
R/2026/210,2026-05-11,Ford,"Tourneo Custom and Transit Custom",26S31,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-210/
R/2026/174,2026-05-08,Ford,Ranger,25S19,25V164,2025-03-14,-420,2025132,2025-03-14,0,https://carsmultiverse.com/uk-recall/r-2026-174/
R/2026/119,2026-05-06,"Aston Martin","DBX, DBX707 and DBX S",RA412086,26V200,2026-03-29,-38,2026156,2026-03-31,1,https://carsmultiverse.com/uk-recall/r-2026-119/
R/2026/128,2026-05-04,Hyundai,"Kona OS EV",61D004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-128/
R/2026/117,2026-04-29,"Honda Motorcycles","CL500AP, CL500AS, CMX500A2P and 5 more",3S43RY,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-117/
R/2026/187,2026-04-17,"Renault Trucks","D Range",C0544,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-187/
R/2026/149,2026-04-13,Ford,Mustang,25SA7,25E068,2025-10-10,-185,2025549,2025-10-11,0,https://carsmultiverse.com/uk-recall/r-2026-149/
R/2026/031,2026-04-07,Ford,E-Transit,25SD9,25V860,2025-12-12,-116,2025689,2025-12-12,0,https://carsmultiverse.com/uk-recall/r-2026-031/
R/2026/093,2026-04-06,Hyundai,I10,61DT01,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-093/
R/2026/145,2026-04-06,"Bmw Motorrad","S1000R, R1300R / RT, F900R / GS and 5 more",0000612600,,,,2026092,2026-03-03,0,https://carsmultiverse.com/uk-recall/r-2026-145/
R/2026/095,2026-04-01,"Nissan (Gb)",NV400,PN6C2,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-095/
R/2026/137,2026-03-26,Ford,Transit,26S20,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-137/
R/2026/105,2026-03-23,Rolls-Royce,"Cullinan and Black Badge Cullinan",0072970200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-105/
R/2026/092,2026-03-17,Bmw,"5 Series Saloon, 5 Series Touring, 7 Series Saloon and 3 more",00615109000061520900,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-092/
R/2026/100,2026-03-13,Ford,"Tourneo Courier and Transit Courier",26S16,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-100/
R/2026/081,2026-03-06,"Man Truck And Bus",TGX,9040TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-081/
R/2026/054,2026-03-02,Bmw,"X3, X4, X5 and 9 more",0012650600,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-054/
R/2026/032,2026-02-27,Ford,Transit,25SC5,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-032/
R/2026/082,2026-02-24,Ford,"Capri and Explorer",26S06,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-082/
R/2026/077,2026-02-20,"Triumph Motorcycles","Bonneville T100, Bonneville T120, Bonneville T120 Black and 7 more",SRAN641,,,,2026058,2026-02-13,1,https://carsmultiverse.com/uk-recall/r-2026-077/
R/2026/066,2026-02-12,"Zf Cvs Turkey","Lemförder Steering ROD Assemblies",TJU253351,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-066/
R/2026/043,2026-02-10,"Volvo Car",EX30,R10357,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-043/
R/2025/464,2026-01-19,Genesis,GV60,51D152,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-464/
R/2025/534,2026-01-19,Mercedes-Benz,E-Class,5491322,,,,2025687,2025-12-12,0,https://carsmultiverse.com/uk-recall/r-2025-534/
R/2026/010,2026-01-09,"Renault Trucks","T High",C0500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-010/
R/2025/533,2026-01-06,Mercedes-Benz,CLA,9190024,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-533/
R/2025/556,2026-01-05,Mercedes-Benz,CLA,1595005,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-556/
R/2025/561,2025-12-31,"Renault Trucks","Master VAN III",M0378,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-561/
R/2025/558,2025-12-30,"Renault Trucks",Master,C0515,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-558/
R/2025/548,2025-12-19,Ducati,"Panigale V2 and Streetfighter V2",CR310,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-548/
R/2025/539,2025-12-18,Ktm,"390 Adventure R, 390 Enduro R and 690 Smc-R",032599896,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-539/
R/2025/531,2025-12-15,Kawasaki,ZX636JR/JS/JT,DAM37,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-531/
R/2025/459,2025-12-10,Mercedes-Benz,CLA,9190319,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-459/
R/2025/460,2025-12-10,Mercedes-Benz,CLA,9193004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-460/
R/2025/462,2025-12-10,Mercedes-Benz,CLA,9192113,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-462/
R/2025/535,2025-12-09,Bmw,X3,0032840300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-535/
R/2025/530,2025-12-09,Ford,Mustang,25S92,25V614,2025-12-09,0,2025484,2025-09-12,1,https://carsmultiverse.com/uk-recall/r-2025-530/
R/2025/493,2025-12-08,Ford,Mustang,25C55,25V689,2025-10-10,-59,2025703,2025-12-18,0,https://carsmultiverse.com/uk-recall/r-2025-493/
R/2025/517,2025-12-03,"Volvo Car",XC90,R10345,25V818,2025-11-25,-8,,,0,https://carsmultiverse.com/uk-recall/r-2025-517/
R/2025/524,2025-12-02,Ford,E-Transit,25S99,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-524/
R/2025/484,2025-12-01,Subaru,Solterra,SRT374,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-484/
