reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/030,2027-02-03,Ford,Kuga,"25C79 Kuga - Powertrain Control Module Software Update",19,0,https://carsmultiverse.com/uk-recall/r-2026-030/
R/2026/342,2026-09-02,Skoda,"Superb, Octavia, Rapid and 1 more","Replacing TAKATA driver airbag",9,0,https://carsmultiverse.com/uk-recall/r-2026-342/
R/2026/310,2026-09-01,"Bmw Motorrad",S1000RR,"Ignition lock may fail",4122,0,https://carsmultiverse.com/uk-recall/r-2026-310/
R/2026/236,2026-09-01,"Adria Concessionaires","Twin 640 SPX, Compact SC, Compact SP and 20 more",165-ISOFIX,2628,0,https://carsmultiverse.com/uk-recall/r-2026-236/
R/2026/169,2026-09-01,Vauxhall,"Astra L","Astra L - VSM software- SLI performance.",269,0,https://carsmultiverse.com/uk-recall/r-2026-169/
R/2026/289,2026-08-31,Ford,Ranger,"26S35 – Ranger – Engine failure",12,0,https://carsmultiverse.com/uk-recall/r-2026-289/
R/2026/160,2026-08-27,Ford,"Kuga and Ranger","26S10 - Kuga Ranger - Potential Exhaust Gas Recirculation Valve Failure",834,0,https://carsmultiverse.com/uk-recall/r-2026-160/
R/2026/341,2026-08-26,"Laika Caravans S.P.A.","Kreos H 5109","Inspect Aguti ISOFIX bracket and replace if necessary",1,0,https://carsmultiverse.com/uk-recall/r-2026-341/
R/2026/329,2026-08-25,"Land Rover","Range Rover","Range Rover (L405) Front Suspension Knuckle Crack – Incorrect Repair",4,0,https://carsmultiverse.com/uk-recall/r-2026-329/
R/2026/315,2026-08-25,Mercedes-Benz,"CLA and GLB","Electric drive unit power electronics",4,0,https://carsmultiverse.com/uk-recall/r-2026-315/
R/2026/309,2026-08-25,Kia,EV6,"Kia EV6 HV Battery Cell Misalignment",1,0,https://carsmultiverse.com/uk-recall/r-2026-309/
R/2026/144,2026-08-24,"Honda Motorcycles","CB1000S and CB1000SPS","Fuel Hose Detached Under Fuel Tank",979,0,https://carsmultiverse.com/uk-recall/r-2026-144/
R/2026/334,2026-08-21,Ford,Explorer,"26S57 Explorer – Panoramic Roof Partial Detachment",21,0,https://carsmultiverse.com/uk-recall/r-2026-334/
R/2026/022,2026-08-20,"Daimler Buses Gmbh",Ecitaro,"Bevel Gear installed with Wrong Ratio",3,0,https://carsmultiverse.com/uk-recall/r-2026-022/
